Review
"Lipitor (atorvastatin) for High Cholesterol, Familial Heterozygous 							""Have been using it for over 10 years.  No problems at a dose of 10mg.  Works well when combined with Ezetrol"""
"Lipitor (atorvastatin) for High Cholesterol 							""I have been on Lipitor for 6 months. My cholesterol went down from 220 to 156, I was tested 2 months ago, therefore I hope it is going down. Fortunately, I don't have any side effect, Thank goodness."""
"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""I used Zocor for first statin follin angioplasty December 2009. I must state that I have a high degree of sensitivity to medications and high degree of allergies. With Zocor, I experienced abdominal cramps increasing daily, muscle pain and off and on nausea. The cramps were a concern because I have experienced anemia in the past. My doctor, whom I trust with my life, suggested that I not take Zocor. After several months I had blood work, my LDH still higher than doctor wanted, so he prescribed Lipitor. I had same bad effects, but on a higher level. Fortunately, my doctor trusts my reports. There is one ""weird"" change that I have not shared with my doctor, but I am sharing with all of you. In several days, and increasingly, I am losing hair. Help me!"""
"Lipitor (atorvastatin) for High Cholesterol 							""I had extremely high hopes for this cholesterol buster and had the best attitude and hopes for this medication but definitely did not work out.  My cholesterol level was 225 and my left carotid artery via a Doppler was 50-70 percent narrowed.  Changed my diet immediately, started exercising, put plans in play to stop smoking and in thinking with Lipitor I'd give myself the best possible chance to reverse the plaque.  Doctor prescribed 10mg, was only able to tolerate it a week.  The first 4 days, no side effects, excited as heck, the 5th day off and on I started experiencing a twighlight zone brain fog that would last 10-15 minutes.  Felt like a couldn't clinch a thought, felt foggy, happened 2x the 5th day, 4x the 6th day, no more......"""
"Lipitor (atorvastatin) for High Cholesterol 							""Horrible ,I never experienced such cramping and pain. it was a nightmare."""
"For High Cholesterol 							""They put me on 80mg it's been a year now  my stomach been bad. Keep looking for a toilet feeling bloated it didn't give me pains in my arms or legs. Today I thought after being on them a year and been to the toilet like 100 times let me check the reviews on my tablets to see what is causing me these problems then I came across your review letting me understand these tablet are causing me IBF."""
"For High Cholesterol 							""I took both simvastatin (got a rash/hives) and Lipitor (even worse rash/hives) which I'm still plagued by even though I went off Lipitor more than a month ago. The rash comes and goes; some days unbearable and others barely noticeable. My urine also developed a foul and toxic odor along with changes in urinary habits/timing."
"Lipitor (atorvastatin) for High Cholesterol 							""Previous experience with other statins and the fact that I have fibromyalgia pain on a regular basis should have been a red flag but wasn't.  It took 2 years to realize the tailbone pain and rectal bleeding were caused by lipitor,  but the light bulb finally lit, I went off lipitor,  symptoms subsided.  I even had a perfect colonoscopy while bleeding.  No more statins for me."""
"For High Cholesterol 							""Switched from Lovastatin to Atorvastatin with Gemfibrozil, resulting in much better numbers and no side effects."""
"For High Cholesterol 							""I'm leaving a positive review because I want others to know that statins don't always have bad side effects. I've been on atorvastatin for about 3 months now. I never got the muscle aches or any other side effects. I do take CoQ10 since this is the supplement that is recommended to combat muscle aches. The best thing is, my cholesterol went down and my doctor is pleased."""
"For High Cholesterol 							""Was put on this medicine after having a heart attack.. Have been on it for over a year and have had no problem what so ever.."""
"For High Cholesterol 							""I started taking Atorvastatin 20mg daily about 2-3 months ago, and started having weird side effects.   I noticed both legs, from the knee down, started having some pain and swelling.  The swelling was the worse.  The pain would have been bearable if that had been the only problem.   Another side effect was some nausea, and the ACID REFLUX, was worse than I had ever had since my initial diagnosis 30 years ago."
"Lipitor (atorvastatin) for High Cholesterol 							""I took  40mgs. Lipitor daily for 2 weeks & experienced complete muscle paralysis in my legs & arms.  Had to stop taking Lipitor.  Next Dr  prescribed Crestor. Crestor worked alright for 1 month. Then again I had paralysis in my arms & legs. The paralysis disappeared in several days after stopping the  cholesterol lowering meds. Dr. Then prescribed Niaspan (prescription strength  Niacin) that also produced the paralysis in my thighs and arms , within 2 weeks . Paralysis disappeared in 2 to 3 days after stopping each med. Dr. Decided I need to take 500 mgs. Niacin with food 4 times per day  & that has helped me greatly,  w/o any paralysis. I also decreased  foods that are high in cholesterol & exercise  more often.  I  am 72 yrs of age."""
"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""My experience with this drug was not very good. I was prescribed 10 mg 1 tablet to be taken per day. I was healthy with normal blood pressure and walked and exercised probably 4 miles per day and was generally fit and healthy. I was unable to take the tablet every day and ended up having to skip days because of the side effects. On day 3 it gave me a dizzy feeling and a sense of anger like wanting to snap at someone for no reason. Day 4 was a spacey feeling like floating and generally feeling like no desire to want to do anything. Went out for a walk got the most terrible muscle cramps in the calves which came and went. Also a panic anxiety feeling that lasted about a minute which felt like I was going to die and a general feeling of not being well. Then the doctor said take it every other day and this was causing me insomnia where I would sleep for a hour then be awake for 4 hours trying to sleep . Also very low sex drive and a feeling like I was being poisoned. Eventually came off it"""
