web-scraper-order,web-scraper-start-url,Condition,Likes,Review,Rating,Name,Date,Position,Gender,Age,Page link,Page link-href
1686665357-1,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,3 ShapeCreated with Sketch.,"I was diagnosed with high cholesterol, HDL low, LDH? Day 1-100 days: 1 grapefruit/day , exercise (run for 30 minutes=2 miles) & low carbohydrate diet (180 gms/day). Fasting blood test showed Increase HDL by 2.5%, still high cholesterol at 260s.  Day 101: 5 mg/day for one day has caused extreme lightheadedness, tiredness. Stop. Doesn't feel right for my body. Looking for options.",Overall rating 2.3,jjjc |,4/14/2014,Patient,Male |,45-54 |,,
1686665357-2,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Heterozygous Inherited High Blood Cholesterol,1 ShapeCreated with Sketch.,"No issue so far. I don't have high cholesterol and don't know how my levels have changed, but I don't have any other issues so far.",Overall rating 5.0,SH |,4/8/2014,Patient,Female |,45-54 |,,
1686665357-3,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Amount of Triglyceride in the Blood,3 ShapeCreated with Sketch.,"I started taking this drug 3 weeks ago and right away I started having bad dreams, stiff neck, muscle weakness and pain in my legs,arms and head. Gave it up 3 days ago, now things are back to normal. This stuff is Bad News!",Overall rating 2.0,UncleJock25 |,4/6/2014,Patient,Male |,65-74 |,,
1686665357-4,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,63 ShapeCreated with Sketch.,"While this medicine lowered my total cholesterol to 164 from 244, it caused side effects.  I experienced persistent, intolerable muscle pain & weakness in both upper arms and debilitating hip pain.  7 days after stopping it, my arms are much better, hip pain is gone, and it feels like a cloud of fog has been lifted from me.  I feel great!  It's hard to believe that only 5 mg. per day of Atorvastatin could make me feel so rotten.  Glad I was proactive with my doctor and finally got off of that poison.Read More Read Less",Overall rating 2.7,Kiki B |,3/29/2014,Patient,Female |,55-64 |,,
1686665357-5,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Slow Progression of Disease of the Arteries of the Heart,2 ShapeCreated with Sketch.,"Atorvastatin has caused inflamation to the bilial (bile) area of the liver.  I was taken completely off this med.  When I was taking simvastatin, there was no a problem. The cardiologist said simvastatin had to be changed because of a directive.  I have a pigs valve (replacement).  Just spent 5 days in hospital because of inflamation around liver area due to atorvastatin.",Overall rating 1.7,jd |,2/27/2014,Patient,Male |,75 or over |,,
1686665357-6,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Combined High Blood Cholesterol and Triglyceride Level,1 ShapeCreated with Sketch.,"In 1 month after my Dr switched me over from using lovastatin, it lowered both C & T a lot more than the previous above. She was very pleased.",Overall rating 5.0,Anonymous |,2/20/2014,Patient,Female |,65-74 |,,
1686665357-7,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,51 ShapeCreated with Sketch.,"after 4 nights of nightmares,legs pain, trouble swallowing,headache,neck pain,back pain and on day 5 hives.dr tells me they cant be from this med but I KNOW BETTER i never had nightmares before,and the stomach pain and weekness and confusion dizziness didnt start till i took this med i notice im not the only one having trouble with this med..im wondering if the name brand is the same or just some of the fillers in this one,stopped taking it,i need help to lower my numbers but this drug isnt it,dr wants me to stop it wait a week and try it again IS HE NUTZ??????Read More Read Less",Overall rating 2.3,lynda |,2/5/2014,Patient,Female |,45-54 |,,
1686665357-8,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Increased Triglycerides and Cholesterol,2 ShapeCreated with Sketch.,"After 8 years I developed severe muscle reaction to Crestor 20mg. No statins for six months. Total cholesterol = 271, LDL=178, Triglycerides = 193  i.e. worse than pre-Crestor levels. Started atorvistatin 20mg. After 3 months: Total chol. = 154, LDL =73 and trigl = 134 with no discernable side effects. Diet and exercise levels unchanged. It seems to be working.",Overall rating 5.0,azrh2003 |,2/2/2014,Patient,Male |,65-74 |,,
1686665357-9,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: High Cholesterol,22 ShapeCreated with Sketch.,"My ankles,feet and legs after 1 week are swollen",Overall rating 1.0,Donna |,1/15/2014,Patient,Female |,45-54 |,,
1686665357-10,https://reviews.webmd.com/drugs/drugreview-841-atorvastatin-oral?conditionid=&sortval=1&page=7&next_page=true,Condition: Heterozygous Inherited High Blood Cholesterol,2 ShapeCreated with Sketch.,"I started with shooting pain in my right eye, then stomach pains and finally the neck pain was so bad I stopped leaving 4 pills out of a the 30 supplied.  This me medication did not like me!!",Overall rating 2.0,atorvastatin |,1/11/2014,Patient,Female |,55-64 |,,
